Unnamed,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
BNX,BnrtxCoin,X11,PoW,0.0,210000000.0
RNS,RenosCoin,Scrypt,PoS,36050365.0,34426423.0
DBIX,DubaiCoin,Dagger-Hashimoto,PoW,2232901.0,2232901.0
XVP,VirtacoinPlus,X11,PoW/PoS,13162749.085802699,100000000.0
TAJ,TajCoin,Blake2S,PoW/PoS,12184195.9258495,36900000.0
IMX,Impact,X11,PoW/PoS,110630387.85047099,110000000.0
EB3,EB3coin,Scrypt,PoW,64096052.0,4000000000.0
UNI,Universe,Scrypt,PoS,0.0,112000000.0
ATMOS,Atmos,PoS,PoS,111135836.889,110290030.0
HPC,HappyCoin,X11,PoW/PoS,21521322.0099142,100000000.0
CXT,Coinonat,NIST5,PoW,10123200.0,48252000.0
MCRN,MacronCoin,PoS,PoS,401421401.0,400000000.0
RAIN,Condensate,X11,PoW/PoS,121665451.643876,500000000.0
IMS,Independent Money System,Scrypt,PoW/PoS,5368934.0,21212121.0
ARGUS,ArgusCoin,Scrypt,PoW/PoS,1148324.0,28600000.0
LMC,LomoCoin,Scrypt,PoW/PoS,500000.0,1000000000.0
BTCS,Bitcoin Scrypt,Scrypt,PoW,0.0,21000000.0
PROC,ProCurrency,SHA-256,PoS,100545745.0,75000000000.0
XGR,GoldReserve,X11,PoW/PoS,17171382.0,40000000.0
BENJI,BenjiRolls,Scrypt,PoW,20276099.146523997,35520400.0
DUO,ParallelCoin,Scrypt,PoW,0.0,1000000.0
GRW,GrowthCoin,Scrypt,PoS,295135466.361878,2000000000.0
ILC,ILCoin,SHA-256,PoW,1317747500.0,2500000000.0
PHR,Phreak,PoS,PoS,11390225.974277198,30000000.0
DEA,Degas Coin,Scrypt,PoW/PoS,21358764.0,105000000.0
ZSE,ZSEcoin,X11,PoW/PoS,0.0,2093500000.0
HTML5,HTML5 Coin,X15,PoW/PoS,40659020000.0,90000000000.0
USC,Ultimate Secure Cash,SHA-256,PoS,10343113.0,200084200.0
EQT,EquiTrader,Scrypt,PoW,13673406.4325268,72000000.0
QTUM,QTUM,POS 3.0,PoS,100000000.0,100000000.0
QRL,Quantum Resistant Ledger,CryptoNight-V7,PoW,69036016.8340164,105000000.0
ESP,Espers,536,PoW/PoS,22801882871.0,50000000000.0
DYN,Dynamic,Argon2d,PoW,19784224.6512734,0.0
NANO,Nano,Blake2b,PoW,133248297.0,340282367.0
CHAN,ChanCoin,Cloverhash,PoW,18407259.0885883,30000000.0
DCY,Dinastycoin,CryptoNight,PoW,1809467143.0,2000000000.0
DNR,Denarius,NIST5,PoW/PoS,4171382.0,10000000.0
DP,DigitalPrice,X11,PoW,35138975.0,100000000.0
VUC,Virta Unique Coin,NIST5,PoW/PoS,62942075.0,120000000.0
BTPL,Bitcoin Planet,Skein,PoW/PoS,6804362.0,100000000.0
UNIFY,Unify,Scrypt,PoW,18133195.0,19276800.0
BRIT,BritCoin,X13,PoW/PoS,21268092.0,30000000.0
SOCC,SocialCoin,Scrypt,PoW,5167775.0,75000000.0
OTX,Octanox,X11,PoW/PoS,0.0,7905634.0
ARC,ArcticCoin,X11,PoW,26042364.373555306,60000000.0
DAS,DAS,X11,PoW,2622886.0,18900000.0
LINDA,Linda,Scrypt,PoW/PoS,9044930943.24243,50000000000.0
XLC,LeviarCoin,CryptoNight,PoW,14161803.0,54000000.0
ONION,DeepOnion,X13,PoW/PoS,21917018.0492836,18898187.6216583
BTX,Bitcore,Time Travel,PoW,17801865.1605478,21000000.0
GCN,gCn Coin,Scrypt,PoW,163055097500.0,200000000000.0
SMART,SmartCash,Keccak,PoW,2241009149.22257,5000000000.0
SIGT,Signatum,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0
ONX,Onix,X11,PoW,122475638.389743,1100000000.0
CRM,Cream,Skein,PoW/PoS,47331802.477423795,100000000.0
BCH,Bitcoin Cash,SHA-256,PoW,17995589.6469082,21000000.0
XMCC,Monoeci,X11,PoW/PoS,12569262.535930699,9507271.0
CMPCO,CampusCoin,Scrypt,PoW,0.0,1010000000.0
DFT,Draftcoin,Scrypt,PoS,18663297.348979894,17405891.19707116
VET,Vechain,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0
SOJ,Sojourn Coin,Scrypt,PoW,485214.0,10500000000.0
STCN,Stakecoin,PoS,PoS,4000000.0,61599965.0
NYC,NewYorkCoin,Scrypt,PoW,143006669741.68698,0.0
LBTC,LiteBitcoin,Scrypt,PoW,0.0,1000000000.0
FRAZ,FrazCoin,Scrypt,PoW,9704042.0,20000000.0
KRONE,Kronecoin,Scrypt,PoW,17453749.4042601,84000000.0
ACC,AdCoin,Scrypt,PoW,32646731.063036,100000000.0
LINX,Linx,Scrypt,PoW,33716526.0,100000000.0
XCXT,CoinonatX,Scrypt,PoW/PoS,19539588.0,48252000.0
ETHD,Ethereum Dark,Scrypt,PoW/PoS,4200000.0,4200000.0
SUMO,Sumokoin,CryptoNight,PoW,8946653.0,88888888.0
ODN,Obsidian,SHA-512,PoS,25000000.0,91388946.0
ADA,Cardano,Ouroboros,PoS,25927070538.0,45000000000.0
REC,Regalcoin,X11,PoW/PoS,7262402.04264803,27000000.0
BTCZ,BitcoinZ,Equihash,PoW,5211553258.01514,21000000000.0
TZC,TrezarCoin,NeoScrypt,PoW/PoS,182638400.0,400000000.0
ELM,Elements,X11,PoW,2702855668.85288,1800000000.0
TER,TerraNovaCoin,Scrypt,PoW/PoS,1140734.91680375,15733333.0
VIVO,VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000.0
RUP,Rupee,Lyra2REv2,PoS,24000000.0,24000000.0
BTG,Bitcoin Gold,Equihash,PoW,17202361.088994,21000000.0
WOMEN,WomenCoin,Scrypt,PoW/PoS,48459472454.0,25000000000.0
MAY,Theresa May Coin,SHA-256,PoW/PoS,92050800.0,100000000.0
NAMO,NamoCoin,NIST5,PoW/PoS,560563220.0,1200000000.0
LUX,LUXCoin,PHI1612,PoW/PoS,8305775.31777569,60000000.0
PIRL,Pirl,Dagger,PoW,33986980.0,156306732.71
XIOS,Xios,Scrypt,PoW/PoS,2149688.0,21000000.0
BTDX,Bitcloud 2.0,Quark,PoW/PoS,30711550.5294042,200000000.0
EBST,eBoost,Scrypt,PoW,99990001.493466,100000000.0
KEK,KekCoin,POS 2.0,PoS,12330806.30517,21000000.0
BLHC,BlackholeCoin,Scrypt,PoW/PoS,16362544.992,14788275.991
ALTCOM,AltCommunity Coin,SkunkHash,PoW/PoS,0.0,5000000.0
PURE,Pure,X11,PoW/PoS,0.0,3686860.0
RUPX,Rupaya,Quark,PoS,0.0,75000000.0
XIN,Infinity Economics,SHA-256,PoS,8999999990.0,9000000000.0
PURA,Pura,X11,PoW,175215859.0,350000000.0
INN,Innova,NeoScrypt,PoW,6375259.04,45000000.0
BDL,Bitdeal,Scrypt,PoW,0.0,300000000.0
ELLA,Ellaism,Ethash,PoW,12756367.0,280000000.0
SKR,Sakuracoin,Scrypt,PoW,0.0,105100000.0
GBX,GoByte,NeoScrypt,PoW,5832306.875,31800000.0
CSTL,Castle,Quark,DPoS,0.0,50000000.0
MAG,Magnet,X11,PoW/PoS,38198594.8342105,144000000.0
TAU,Lamden Tau,DPoS,DPoS,288090567.493887,500000000.0
ECA,Electra,NIST5,PoW/PoS,28399150208.0,30000000000.0
BCD,Bitcoin Diamond,X13,PoW/PoS,183534024.88980705,210000000.0
XSH,SHIELD,Multiple,PoW,481730566.566176,660000000.0
CNBC,Cash & Back Coin,Scrypt,PoW/PoS,110976977.29338,210000000.0
XUN,UltraNote,CryptoNight,PoW,19281821413.4924,85000000000.0
COAL,BitCoal,CryptoNight,PoW,4500000.0,12500000.0
DAXX,DaxxCoin,Ethash,PoW,520891780.0,10000000000.0
BWK,Bulwark,NIST5,PoS,13247178.880728599,27716121.0
KLKS,Kalkulus,Quark,PoS,16955764.902064007,20000000.0
AC3,AC3,X11,PoW,80316207.0,550000000.0
CHIPS,CHIPS,SHA-256,PoW,0.0,21000000.0
LTHN,Lethean,CryptoNight-V7,PoW,441250233.377,999481516.0
GER,GermanCoin,Scrypt,PoW/PoS,4911500269.41,50000000000.0
LTCU,LiteCoin Ultra,Scrypt,PoW/PoS,8419402.321,150000000.0
POP,PopularCoin,Scrypt,PoW,3964201248.87125,4999999999.0
PNX,PhantomX,X11,PoW/PoS,45174214.1078625,50000000.0
HTML,HTML Coin,SHA-256,PoW/PoS,0.0,90000000000.0
PHO,Photon,BLAKE256,PoW,30089671530.5228,90000000000.0
SUCR,Sucre,X11,PoW,4229040.50393462,19800000.0
XFT,Fantasy Cash,Scrypt,PoW/PoS,0.0,4600000.0
SPK,SparksPay,NeoScrypt,PoW,7847417.33355824,21000000.0
WAGE,Digiwage,Quark,PoS,27299680.0,120000000.0
GUN,GunCoin,NeoScrypt,PoW,299797953.0,500000000.0
IRL,IrishCoin,Scrypt,PoW,45483049.3398182,64000000.0
TROLL,Trollcoin,Scrypt,PoW/PoS,591022748.0,900000000.0
LCP,Litecoin Plus,Scrypt,PoW/PoS,2504486.227718,4000000.0
MONK,Monkey Project,X11,PoS,4407252.0,21000000.0
PCOIN,Pioneer Coin,X11,PoW,8478104.33969947,23000000.0
UBTC,UnitedBitcoin,SHA-256,PoW,20166000.0,20166000.0
ITZ,Interzone,C11,PoW,11916588.09471,23000000.0
OPC,OP Coin,Scrypt,PoW/PoS,0.0,2000000000.0
VAL,Valorbit,Scrypt,PoW/PoS,0.0,9.223372e+16
TPAY,TokenPay,POS 3.0,PoS,20445861.534425106,25000000.0
MCT,1717 Masonic Commemorative Token,Ethash,PoS,1618033.0,1618033.0
MBC,My Big Coin,Scrypt,PoW and PoS,9399342.52839847,30000000.0
TRTL,TurtleCoin,CryptoNight,PoW,53139835213.77,1000000000000.0
MUN,MUNcoin,SkunkHash,PoW,4818338.98949984,16600000.0
USX,Unified Society USDEX,Scrypt,PoW/PoS,234846265.78215697,232000000.0
NBR,Niobio Cash,CryptoNight,PoW,133932467.77410801,336000000.0
BTCP,Bitcoin Private,Equihash,PoW,0.0,21000000.0
SKC,Skeincoin,Skein,PoW,0.0,17000000.0
SSS,ShareChain,Scrypt,PoW,10000000000.0,10000000000.0
TRF,Travelflex,Dagger,PoW,107325266.02778299,100000000.0
KREDS,KREDS,Lyra2REv2,PoW,643795911.540095,1100000000.0
TOKC,Tokyo Coin,X13,PoS,230298925.0,800000000.0
BBP,BiblePay,Proof-of-BibleHash,POBh,1772091549.88818,5200000000.0
LCC,LitecoinCash,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000.0
FLIP,BitFlip,Scrypt,PoW,12446100.00278,40000000.0
LOT,LottoCoin,Scrypt,PoW,14491014421.0,18406979840.0
LEAF,LeafCoin,Scrypt,PoW,0.0,21000000000.0
CBS,Cerberus,NeoScrypt,PoW,0.0,31500000.0
BTCH,Bitcoin Hush,Equihash,PoW,0.0,21000000.0
CIF,Crypto Improvement Fund,X11,PoW,211297638.500483,500000000.0
SPD,Stipend,C11,PoW/PoS,11251342.1879021,19340594.0
POA,Poa Network,Proof-of-Authority,PoA,204479039.0,252460800.0
PUSHI,Pushi,X11,PoW/PoS,2167827.1,25000000.0
ELP,Ellerium,XEVAN,PoW/PoS,419275.38,60000000.0
VLX,Velox,Scrypt,PoS,25570013.1348022,124000000.0
ONT,Ontology,VBFT,PoS,650848625.0,1000000000.0
CLO,Callisto Network,Ethash,PoW,247612453.0,6500000000.0
CRU,Curium,X11,PoW,0.0,22000000.0
TUBE,BitTube,CryptoNight,PoW,80049082.9057215,1000000000.0
DIN,Dinero,NeoScrypt,PoW,0.0,100000000.0
PSD,Poseidon,Scrypt,PoW,4070212.1493015997,21000000.0
ADK,Aidos Kuneen,IMesh,PoW,25000000.0,25000000.0
BSX,Bitspace,NIST5,PoW/PoS,13787854.6277781,50000000.0
XSG,Snowgem,Equihash,PoW,0.0,84096000.0
BRIA,Briacoin,Scrypt,PoW/PoS,845637.81347436,3000000.0
IC,Ignition,Scrypt,PoW/PoS,1182153.5,5000000.0
BTL,Bitrolium,Equihash,PoW,71355477.0,70000000.0
BCI,Bitcoin Interest,Equihash,PoW,0.0,22300000.0
MEDIC,MedicCoin,Scrypt,PoS,267297676.3125,500000000.0
ALPS,Alpenschillling,Lyra2Z,PoW,27340501.6514783,300000000.0
ZEL,Zelcash,Equihash,PoW/PoS,0.0,210000000.0
BITG,Bitcoin Green,Green Protocol,PoS,9803691.3618195,21000000.0
DEV,Deviant Coin,PoS,PoS,21876586.8530324,88000000.0
ABJ,Abjcoin,Scrypt,PoW/PoS,9880502.37178894,30000000.0
PHC,Profit Hunters Coin,Scrypt,PoW/PoS,0.0,100000000.0
SEM,Semux,Semux BFT consensus,DPoS,1231147.0,100000000.0
BBK,BitBlocks,Scrypt,PoW/PoS,0.0,500000000.0
FTO,FuturoCoin,X11,PoW,31801461.1867843,100000000.0
CARE,Carebit,Quark,PoW/PoS,139739596.506702,200000000.0
NZL,Zealium,PoS,PoS,11075254.0929996,80000000.0
XMC,Monero Classic,CryptoNight,PoW,16016864.0,18400000.0
PROTON,Proton,X16R,PoS,4403800.0,45000000.0
DEAL,iDealCash,Scrypt,PoW/PoS,1404157529.46026,5121951220.0
JUMP,Jumpcoin,NIST5,PoW,21069346.252259802,21000000.0
INFX,Infinex,Lyra2RE,PoW,5097689.71077377,26280000.0
XBI,Bitcoin Incognito,XEVAN,PoS/PoW,10904963.0923455,21000000.0
KEC,KEYCO,Tribus,PoW,795447.0,18000000.0
HWC,HollyWoodCoin,Scrypt,PoS,38706809.466534995,26000000.0
GIN,GINcoin,Lyra2Z,PoW,6986399.70430446,10500000.0
PLTC,PlatinCoin,CryptoNight,PoW,84300.0,600000518.0
LOKI,Loki,CryptoNight Heavy,PoW,19153632.0,150000000.0
NCP,Newton Coin,CryptoNight,PoW,41294520017.0,184000000000.0
SIC,Swisscoin,Scrypt,PoW/PoS,10200000000.0,10200000000.0
XT3,Xt3ch,Scrypt,PoS,7630000.0154,44000000.0
MGD,MassGrid,Jump Consistent Hash,PoW,135862416.039898,168000000.0
VIG,TheVig,SHA-256D,PoW/PoS,33238183.7225834,100000000.0
PLURA,PluraCoin,CryptoNight,PoW,560085952.404637,1000000000.0
EMAR,EmaratCoin,Scrypt,PoW/PoS,21599339.6728,84000000.0
DKD,Dekado,X15,PoS,30284196.369129,90000000.0
LYNX,Lynx,Scrypt,HPoW,77872059787.8998,92000000000.0
POSQ,Poseidon Quark,Quark,PoS,2716264.95302831,650000000.0
BWS,BitcoinWSpectrum,SHA-256,PoS,57811001.000889,100262205.0
MUSE,Muse,DPoS,PoS,18194936.0,18081806.0
XMN,Motion,X16R,PoW,8125865.02097646,22075700.0
PLUS1,PlusOneCoin,HMQ1725,PoW,8645406.16776286,21000000.0
AXE,Axe,X11,PoW,4993030.69736615,21000000.0
TRVC,Trivechain,X16R,PoW/PoS,36923120.6205934,82546564.0
DTEM,Dystem,Quark,PoS,7082392.24744494,21000000.0
GIC,Giant,Quark,PoW/PoS,5919489.76813523,5151000.0
PNY,Peony Coin,Scrypt,PoS,1042012.45227735,16880000000.0
SAFE,SafeCoin,Zhash,PoW/PoS,0.0,36000000.0
ABS,Absolute Coin,Lyra2REv2,PoW/PoS,13332617.9413708,52500000.0
VITAE,Vitae,Quark,PoS,66053877.6256106,100000000.0
HEX,HexCoin,Scrypt,PoW,1416663.06600024,22105263.0
TPC,TPCash,Scrypt,PoW/PoS,5403802.49590733,1000000000.0
WEBC,Webchain,CryptoNight-V7,PoW,15580199.3087496,1750000000.0
RYO,Ryo,Cryptonight-GPU,PoW,4890897.0,88188888.0
MUSD,MUSDcoin,Scrypt,PoW/PoS,0.0,100000000.0
URALS,Urals Coin,XEVAN,PoW,14746153.0962884,210000000.0
QWC,Qwertycoin,CryptoNight Heavy,PoW,99553110528.8022,184470000000.0
ARE,ARENON,X11,PoS,19269509.94,55000000.0
EUNO,EUNO,X11,PoW/PoS,30771125.976086706,50000000.0
MMO,MMOCoin,Scrypt,PoS,107763867.917675,260000000.0
KETAN,Ketan,PoS,PoS,9327131.59708692,210000000.0
NIX,NIX,Lyra2REv2,PoW,0.0,175000000.0
XSTC,Safe Trade Coin,Scrypt,PoS,0.0,840000000.0
PPAI,Project Pai,SHA-256,PoW,2100000000.0,2100000000.0
MBLC,Mont Blanc,Scrypt,PoS,0.0,70000000.0
XDNA,XDNA,Keccak,PoW/PoS,4672513.84432375,366000000.0
PAXEX,PAXEX,X11,PoS,4504639.0,100000000.0
AZART,Azart,X11,PoW,5015881.37315389,25000000.0
XAP,Apollon,Quark,PoW/PoS,0.0,250000000.0
TSC,ThunderStake,Scrypt,PoW/PoS,1059954080.4343901,18000000000.0
KCASH,Kcash,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000.0
XCG,Xchange,X16R,PoW,9753753.61515394,100000000.0
AAC,Acute Angle Cloud,ECC 256K1,DPOS,1000000000.0,1000000000.0
TRAID,Traid,NeoScrypt,PoW/PoS,0.0,252000000.0
CRYP,CrypticCoin,Equihash,PoW,4235111504.0,7600000000.0
BTXC,Bettex coin,XEVAN,PoS,6787405.18013774,50000000.0
ZEST,ZestCoin,Quark,PoW,0.0,29300000.0
XCASH,X-CASH,CryptoNight Heavy X,PoW,0.0,100000000000.0
ACM,Actinium,Lyra2Z,PoW,13634850.0,84000000.0
ETHO,ETHER-1,Ethash,PoW,0.0,13666237.0
BSV,Bitcoin SV,SHA-256,PoW,17992514.6469233,21000000.0
BITM,BitMoney,XEVAN,Pos,208515864.36734292,70000000000.0
B2G,Bitcoiin2Gen,Ethash,PoW,0.0,100000000.0
JMC,Junson Ming Chan Coin,X11,PoS,17209923728.3266,0.0
FRED,FREDEnergy,CryptoNight,PoW,1867054873.2839696,8080000000.0
ZND,Zenad,Quark,POS / MN,0.0,46000000.0
C25,C25 Coin,SkunkHash,PoW,0.0,6100000.0
HERB,HerbCoin,Quark,PoW/PoS,35312185.7437239,54000000.0
AQUA,Aquachain,Argon2,PoW,0.0,42000000.0
UMO,Universal Molecule,Blake,PoW,1578281.31341127,105120001.44
LIT,Lithium,Blake,PoW,15846721.248274695,25228800.0
RBTC,Smart Bitcoin,SHA-256,PoW,0.0,20999764.0
PIRATE,PirateCash,Equihash,PoS,13475920.0,105000000.0
EXO,Exosis,Exosis,PoW,406091.925,21000000.0
BLTG,Block-Logic,Scrypt,PoW,35284717.173946,120000000.0
OWC,Oduwa,Scrypt,PoW/PoS,14777549.394076401,21000000.0
BEAM,Beam,Equihash,PoW,35687520.0,262800000.0
GALI,Galilel,Quark,PoW/PoS,18265011.248600602,19035999.0
BTH,Bithereum,Equihash,PoW,25150787.5,30886000.0
CSPN,Crypto Sports,Quark,PoS,1934701.67524713,13370000.0
CREDIT,Credit,Scrypt,PoW/PoS,30825710000.0296,74800000000.0
SLC,SLICE,QuBit,PoW,12925790.4226959,100000000.0
DASHP,Dash Platinum,X11,PoS,715659.44237941,19700000.0
NSD,Nasdacoin,Scrypt,PoW/PoS,20546528.2059957,84000000.0
VDL,Vidulum,Equihash1927,PoW,0.0,100000000.0
BEET,Beetle Coin,XEVAN,PoW/PoS,198938144.363399,500000000.0
TTN,Titan Coin,SHA-256D,PoW/PoS,896361168.0,5000000000.0
AWR,Award,X11,PoW/PoS,15420234.5389336,420000000.0
BST,BlockStamp,SHA-256,PoW,0.0,105000000.0
BLAST,BLAST,SHA-256,PoW,52293836.62779579,64000000.0
XRC,Bitcoin Rhodium,X13,PoW,1170292.5,2100000.0
GLT,GlobalToken,SHA-256,PoW,84613099.9999955,168000000.0
INSN,Insane Coin,X11,PoW/PoS,23775960.3207514,30000000.0
ALX,ALAX,DPoS,DPoS,1000000000.0,1000000000.0
TFC,The Freedom Coin,X11,PoS,0.0,25000000.0
LDOGE,LiteDoge,Scrypt,PoW/PoS,15318887081.0146,35000000000.0
BBR,Boolberry,X11,PoW,0.0,18450000.0
SLR,SolarCoin,Scrypt,PoW,55565076.3863525,98100000000.0
TRK,TruckCoin,X11,PoW/PoS,242574105.22384,0.0
UFO,UFO Coin,NeoScrypt,PoW,3824685012.0,4000000000.0
ASN,Ascension Coin,QuBit,PoW/PoS,0.0,0.0
OC,OrangeCoin,Scrypt,PoW/PoS,3537150.0,200000000.0
BLC,BlakeCoin,Blake,PoW,23356790.1494191,7000000000.0
BITS,BitstarCoin,Scrypt,PoW/PoS,20576532.0,54256119.0
NEOS,NeosCoin,SHA-256,PoS,4392258.24647793,21000000.0
HYPER,HyperCoin,Scrypt,PoW/PoS,9631199.99309942,0.0
PINK,PinkCoin,X11,PoW/PoS,436353624.49031204,500000000.0
